id,score
18142,0.8980966
18143,0.8588389
18144,0.53902966
18145,0.9312209
18146,0.9089369
18147,0.8457189
18148,0.18160996
18149,0.90853196
18150,0.8546785
18151,0.79216355
18152,0.9151671
18153,0.29610446
18154,0.94423443
18155,0.5697002
18156,0.92597055
18157,0.07175372
18158,0.7116159
18159,0.5128545
18160,0.9126137
18161,0.4019681
18162,0.98958874
18163,0.59811115
18164,0.9292022
18165,0.8100233
18166,0.957396
18167,0.7612848
18168,0.8574741
18169,0.9344884
18170,0.74312216
18171,0.9633072
18172,0.9494273
18173,0.91480637
18174,0.8983753
18175,0.6494749
18176,0.9110654
18177,0.719674
18178,0.9185309
18179,0.96749866
18180,0.78279847
18181,0.9207595
18182,0.89061695
18183,0.7323506
18184,0.9542583
18185,0.8820058
18186,0.90459317
18187,0.91783863
18188,0.91782236
18189,0.41619745
18190,0.95550287
18191,0.7322719
18192,0.88693273
18193,0.93084586
18194,0.45032755
18195,0.80469877
18196,0.14137644
18197,0.47794163
18198,0.63318115
18199,0.742206
18200,0.3796839
18201,0.63217986
18202,0.94917375
18203,0.77697
18204,0.6646715
18205,0.5205922
18206,0.6608956
18207,0.9195174
18208,0.792563
18209,0.918575
18210,0.60843456
18211,0.7025161
18212,0.47448274
18213,0.68944156
18214,0.2609616
18215,0.8329013
18216,0.66945803
18217,0.569978
18218,0.7938301
18219,0.78261304
18220,0.3293239
18221,0.784427
18222,0.17247796
18223,0.30631584
18224,0.10723537
18225,0.6011104
18226,0.87525064
18227,0.7040453
18228,0.8085085
18229,0.30152443
18230,0.95743895
18231,0.94132864
18232,0.9185401
18233,0.75794214
18234,0.6736643
18235,0.9351023
18236,0.9761478
18237,0.7244659
18238,0.9432111
18239,0.7945781
18240,0.8520687
18241,0.8791821
18242,0.9190482
18243,0.796001
18244,0.960857
18245,0.7372218
18246,0.9211054
18247,0.8891892
18248,0.65580654
18249,0.8333865
18250,0.68325853
18251,0.84945226
18252,0.77080107
18253,0.43822086
18254,0.913258
18255,0.937713
18256,0.9429324
18257,0.11840348
18258,0.3608846
18259,0.52330345
18260,0.1494943
18261,0.19718511
18262,0.68114656
18263,0.9366522
18264,0.44656742
18265,0.17733455
18266,0.89447355
18267,0.7453855
18268,0.9125772
18269,0.63999236
18270,0.71106434
18271,0.9225035
18272,0.935651
18273,0.9001403
18274,0.76121175
18275,0.5102224
18276,0.6824255
18277,0.4789976
18278,0.97736037
18279,0.885917
18280,0.5067449
18281,0.6843392
18282,0.9140452
18283,0.78319997
18284,0.9546432
18285,0.4309411
18286,0.69644004
18287,0.39567968
18288,0.9100796
18289,0.5619073
18290,0.7986966
18291,0.92179173
18292,0.9443031
18293,0.7799028
18294,0.49402606
18295,0.9167855
18296,0.8842533
18297,0.7100949
18298,0.9609649
18299,0.80533516
18300,0.63321316
18301,0.93214184
18302,0.5921
18303,0.28824988
18304,0.39026356
18305,0.90655017
18306,0.69984883
18307,0.21437892
18308,0.9620951
18309,0.12339472
18310,0.19707139
18311,0.77340704
18312,0.69035566
18313,0.13552125
18314,0.04754742
18315,0.37124225
18316,0.95026094
18317,0.876943
18318,0.28022182
18319,0.7865015
18320,0.93481207
18321,0.13066483
18322,0.9461925
18323,0.9171987
18324,0.72371876
18325,0.8065753
18326,0.90384936
18327,0.7231706
18328,0.8284045
18329,0.47872034
18330,0.8175048
18331,0.072918355
18332,0.20576142
18333,0.9248759
18334,0.93932444
18335,0.9231666
18336,0.4915412
18337,0.8341957
18338,0.9237239
18339,0.9191241
18340,0.94542
18341,0.6266759
18342,0.46325386
18343,0.9347052
18344,0.94067305
18345,0.8988568
18346,0.86393344
18347,0.30395967
18348,0.83573717
18349,0.9422153
18350,0.3272446
18351,0.44079372
18352,0.8209993
18353,0.26370752
18354,0.5009649
18355,0.68260485
18356,0.08537886
18357,0.82684475
18358,0.46470296
18359,0.9329237
18360,0.91421974
18361,0.93224365
18362,0.6891266
18363,0.61777204
18364,0.36924338
18365,0.78207743
18366,0.928462
18367,0.9242455
18368,0.45451683
18369,0.8751148
18370,0.91841424
18371,0.7995808
18372,0.65784746
18373,0.21321447
18374,0.67827743
18375,0.14242876
18376,0.83985996
18377,0.57179844
18378,0.56961274
18379,0.30455577
18380,0.85143447
18381,0.3177012
18382,0.5391616
18383,0.92056286
18384,0.5855141
18385,0.20277406
18386,0.3473169
18387,0.53747797
18388,0.8444114
18389,0.77842575
18390,0.58808345
18391,0.88614094
18392,0.87429357
18393,0.6730107
18394,0.9702664
18395,0.8372369
18396,0.8714633
18397,0.79826444
18398,0.9616602
18399,0.8966384
18400,0.87716514
18401,0.26591086
18402,0.9250331
18403,0.08729117
18404,0.9849097
18405,0.8540673
18406,0.65052783
18407,0.37010136
18408,0.9715045
18409,0.99430096
18410,0.94994843
18411,0.9472225
18412,0.9725858
18413,0.78929955
18414,0.9195513
18415,0.9527346
18416,0.8590972
18417,0.931338
18418,0.8839887
18419,0.44357124
18420,0.79086393
18421,0.37501135
18422,0.95076907
18423,0.7217554
18424,0.95530045
18425,0.75993913
18426,0.9181222
18427,0.6140479
18428,0.7143948
18429,0.8331216
18430,0.8246744
18431,0.79043525
18432,0.75313646
18433,0.2376876
18434,0.10035737
18435,0.6527122
18436,0.3365635
18437,0.060365483
18438,0.60607535
18439,0.812354
18440,0.56656855
18441,0.66966873
18442,0.15535696
18443,0.9274914
18444,0.95933855
18445,0.92417216
18446,0.9037313
18447,0.9315682
18448,0.9090329
18449,0.21885666
18450,0.92692506
18451,0.8985334
18452,0.89366096
18453,0.9252335
18454,0.9102938
18455,0.99661595
18456,0.8128416
18457,0.8902639
18458,0.89935434
18459,0.5484988
18460,0.88776624
18461,0.86031955
18462,0.9245748
18463,0.76855594
18464,0.9279991
18465,0.5967608
18466,0.8404754
18467,0.101618536
18468,0.92866844
18469,0.89403206
18470,0.24879353
18471,0.85160214
18472,0.5789147
18473,0.94086033
18474,0.823375
18475,0.6547875
18476,0.6093993
18477,0.15582688
18478,0.44166595
18479,0.6637853
18480,0.24770772
18481,0.35749266
18482,0.8781355
18483,0.64305335
18484,0.6381555
18485,0.7085226
18486,0.94806725
18487,0.34791985
18488,0.8941162
18489,0.30045044
18490,0.97955006
18491,0.6232373
18492,0.6521065
18493,0.5114744
18494,0.847606
18495,0.94814646
18496,0.90447503
18497,0.847416
18498,0.9557783
18499,0.2951115
18500,0.9000944
18501,0.85171807
18502,0.8321036
18503,0.9461414
18504,0.65282196
18505,0.90823704
18506,0.69780594
18507,0.12716134
18508,0.1374585
18509,0.5503756
18510,0.04595722
18511,0.8746487
18512,0.9458715
18513,0.9547681
18514,0.402128
18515,0.9725503
18516,0.8186447
18517,0.91300017
18518,0.5447511
18519,0.66619664
18520,0.754805
18521,0.30396533
18522,0.7909252
18523,0.9277857
18524,0.365129
18525,0.5298325
18526,0.9094094
18527,0.91519624
18528,0.5606452
18529,0.66697323
18530,0.3652402
18531,0.942224
18532,0.029304333
18533,0.9581845
18534,0.832343
18535,0.36552376
18536,0.8961197
18537,0.26332828
18538,0.93043494
18539,0.9712125
18540,0.8981359
18541,0.9230053
18542,0.26028308
18543,0.86864775
18544,0.689637
18545,0.5966168
18546,0.66841406
18547,0.63607186
18548,0.7007487
18549,0.37136316
18550,0.88039625
18551,0.78248817
18552,0.21345451
18553,0.9495219
18554,0.7308324
18555,0.47268158
18556,0.46796492
18557,0.03877784
18558,0.036901847
18559,0.9333494
18560,0.90557283
18561,0.52151954
18562,0.88070446
18563,0.9095426
18564,0.9180205
18565,0.46954498
18566,0.8956565
18567,0.69559574
18568,0.8933043
18569,0.32236516
18570,0.17238046
18571,0.9504285
18572,0.9117196
18573,0.9122508
18574,0.7633181
18575,0.9493811
18576,0.047201566
18577,0.9542088
18578,0.76258236
18579,0.91459554
18580,0.45699364
18581,0.7424234
18582,0.8910396
18583,0.21430002
18584,0.75428367
18585,0.83245206
18586,0.034187403
18587,0.8187958
18588,0.316004
18589,0.47098255
18590,0.98022664
18591,0.75551957
18592,0.62274665
18593,0.35065946
18594,0.69345087
18595,0.9250718
18596,0.88734645
18597,0.89354354
18598,0.73579097
18599,0.7955542
18600,0.8553243
18601,0.4830127
18602,0.12340285
18603,0.93347055
18604,0.84955764
18605,0.22644696
18606,0.85861
18607,0.078511655
18608,0.7960795
18609,0.9408643
18610,0.54804
18611,0.85201097
18612,0.3552249
18613,0.5350506
18614,0.58232194
18615,0.8712074
18616,0.89937794
18617,0.9340017
18618,0.68676233
18619,0.75432396
18620,0.85838497
18621,0.93546873
18622,0.5734028
18623,0.9178385
18624,0.9028479
18625,0.9277846
18626,0.84871686
18627,0.70716375
18628,0.89598954
18629,0.80190235
18630,0.95791936
18631,0.97532237
18632,0.92088497
18633,0.7749124
18634,0.1635826
18635,0.9186573
18636,0.97111243
18637,0.8993821
18638,0.9453788
18639,0.67121065
18640,0.90209657
18641,0.8163902
18642,0.6825612
18643,0.657344
18644,0.9021414
18645,0.5983904
18646,0.93500775
18647,0.35653225
18648,0.90130436
18649,0.11853792
18650,0.13916023
18651,0.55542904
18652,0.8602425
18653,0.73382026
18654,0.3394487
18655,0.30318907
18656,0.14671634
18657,0.63053095
18658,0.60243034
18659,0.7437948
18660,0.3904193
18661,0.53843105
18662,0.72106516
18663,0.7757128
18664,0.5053482
18665,0.75639415
18666,0.8648806
18667,0.6787715
18668,0.18678035
18669,0.89983827
18670,0.87232405
18671,0.867738
18672,0.51015073
18673,0.9605132
18674,0.83115596
18675,0.9770421
18676,0.9285907
18677,0.934401
18678,0.8914773
18679,0.8878573
18680,0.83858716
18681,0.86215407
18682,0.93123174
18683,0.94100744
18684,0.8849919
18685,0.9437389
18686,0.6978732
18687,0.3624321
18688,0.9207856
18689,0.9511615
18690,0.9631565
18691,0.4446776
18692,0.91727054
18693,0.516534
