id,score
18142,0.81563443
18143,0.9267458
18144,0.85078345
18145,0.96413505
18146,0.82142184
18147,0.86007085
18148,0.11378635
18149,0.78521765
18150,0.57405454
18151,0.88765678
18152,0.94956019
18153,0.43639122
18154,0.58307629
18155,0.1234354
18156,0.94768974
18157,0.20847958
18158,0.74282271
18159,0.61405269
18160,0.95747356
18161,0.67372292
18162,0.83634493
18163,0.87568312
18164,0.84025827
18165,0.80424468
18166,0.96858625
18167,0.68212179
18168,0.80424473
18169,0.9512387
18170,0.85353231
18171,0.98510219
18172,0.8943365
18173,0.7564835
18174,0.85054113
18175,0.69918353
18176,0.80614291
18177,0.42907557
18178,0.67731927
18179,0.80424512
18180,0.45441894
18181,0.91971655
18182,0.702764435
18183,0.94271722
18184,0.8042448
18185,0.865757863
18186,0.77778252
18187,0.80424492
18188,0.76596487
18189,0.39596727
18190,0.9107544
18191,0.82462983
18192,0.47681688
18193,0.80424492
18194,0.80424522
18195,0.42419373
18196,0.42419216
18197,0.61063159
18198,0.43701146
18199,0.80424489
18200,0.42419138
18201,0.80424486
18202,0.43700991
18203,0.42909107
18204,0.47006644
18205,0.51848374
18206,0.49122942
18207,0.92353982
18208,0.53901257
18209,0.80424455
18210,0.56768892
18211,0.80424505
18212,0.43701087
18213,0.42419302
18214,0.55154712
18215,0.72531949
18216,0.74282449
18217,0.53024746
18218,0.80424478
18219,0.45442292
18220,0.42419424
18221,0.42421334
18222,0.56769134
18223,0.23578616
18224,0.43701016
18225,0.52265756
18226,0.77902726
18227,0.62206501
18228,0.80424473
18229,0.42821788
18230,0.804264
18231,0.82865734
18232,0.84466819
18233,0.58688796
18234,0.59780823
18235,0.91888576
18236,0.94975268
18237,0.89372546
18238,0.95599211
18239,0.87696981
18240,0.84027486
18241,0.75666242
18242,0.95342464
18243,0.80426701
18244,0.96470793
18245,0.80426701
18246,0.90157441
18247,0.84372006
18248,0.6773943
18249,0.94813231
18250,0.58693509
18251,0.97142379
18252,0.75000859
18253,0.53908415
18254,0.80425689
18255,0.88055933
18256,0.8538632
18257,0.52270599
18258,0.39602485
18259,0.8042559
18260,0.10783478
18261,0.41439282
18262,0.56770447
18263,0.80426139
18264,0.80427304
18265,0.56770415
18266,0.79960051
18267,0.73923615
18268,0.94272486
18269,0.55156617
18270,0.72423164
18271,0.86274152
18272,0.84026975
18273,0.91076685
18274,0.552767
18275,0.7242252
18276,0.8405904
18277,0.73920866
18278,0.8964736
18279,0.89997402
18280,0.9436267
18281,0.55188382
18282,0.76279779
18283,0.58690269
18284,0.80424447
18285,0.86571866
18286,0.80425819
18287,0.42419101
18288,0.83337559
18289,0.94272291
18290,0.80424463
18291,0.93872439
18292,0.8538292
18293,0.58688686
18294,0.5869218
18295,0.92499962
18296,0.82907329
18297,0.42419121
18298,0.95568125
18299,0.8073625
18300,0.84673895
18301,0.55218851
18302,0.55154715
18303,0.80424456
18304,0.43700904
18305,0.63456232
18306,0.42419139
18307,0.42419105
18308,0.69918266
18309,0.23578579
18310,0.20478456
18311,0.80424445
18312,0.8042446
18313,0.42419088
18314,0.816256458
18315,0.783654328
18316,0.9094341
18317,0.83432317
18318,0.4143686
18319,0.82964021
18320,0.84371589
18321,0.42821733
18322,0.93979669
18323,0.93989808
18324,0.6165665
18325,0.99874589
18326,0.58692164
18327,0.42419085
18328,0.77018628
18329,0.63797592
18330,0.63747855
18331,0.55275296
18332,0.43701146
18333,0.87951118
18334,0.75067567
18335,0.97135056
18336,0.34883451
18337,0.80424447
18338,0.95342389
18339,0.64581376
18340,0.76279909
18341,0.68212367
18342,0.42907473
18343,0.8795105
18344,0.82142087
18345,0.80424527
18346,0.91202511
18347,0.64581411
18348,0.80424565
18349,0.64581411
18350,0.76540366
18351,0.52266101
18352,0.56768963
18353,0.47006432
18354,0.43701111
18355,0.66886772
18356,0.43700932
18357,0.34883362
18358,0.40954705
18359,0.5926589
18360,0.94271717
18361,0.75514113
18362,0.63747863
18363,0.63797671
18364,0.42907583
18365,0.84025828
18366,0.56768812
18367,0.80424486
18368,0.95747356
18369,0.77778592
18370,0.80424484
18371,0.75514328
18372,0.34883143
18373,0.42419188
18374,0.86569816
18375,0.33362225
18376,0.80424647
18377,0.64283551
18378,0.61299314
18379,0.4370091
18380,0.6374786
18381,0.567688
18382,0.67376146
18383,0.81049931
18384,0.84025834
18385,0.43870248
18386,0.39597051
18387,0.43701483
18388,0.77468023
18389,0.58688799
18390,0.42419196
18391,0.9132211
18392,0.69918482
18393,0.5390138
18394,0.89161119
18395,0.86384903
18396,0.8756839
18397,0.80424496
18398,0.89457821
18399,0.92825529
18400,0.80424471
18401,0.87562278
18402,0.86267649
18403,0.3336209
18404,0.96252103
18405,0.96701991
18406,0.75665355
18407,0.34891729
18408,0.94342182
18409,0.97356005
18410,0.95901666
18411,0.93397722
18412,0.82877483
18413,0.55528198
18414,0.75666539
18415,0.95568481
18416,0.78500137
18417,0.94337447
18418,0.94272117
18419,0.43707994
18420,0.95342524
18421,0.43703142
18422,0.96470604
18423,0.80425786
18424,0.8719691
18425,0.80425768
18426,0.43707421
18427,0.68214654
18428,0.42425899
18429,0.94288398
18430,0.69196959
18431,0.80426169
18432,0.43704142
18433,0.8042657
18434,0.30800244
18435,0.80425946
18436,0.39599251
18437,0.43705304
18438,0.56772244
18439,0.7469037
18440,0.47014822
18441,0.5552762
18442,0.42422199
18443,0.87196404
18444,0.96470672
18445,0.92580796
18446,0.90302347
18447,0.91075499
18448,0.8402699
18449,0.68215175
18450,0.87199881
18451,0.86569525
18452,0.8549978
18453,0.89214809
18454,0.93769389
18455,0.94288118
18456,0.43700852
18457,0.90903403
18458,0.82142
18459,0.42419095
18460,0.96989718
18461,0.81062621
18462,0.87195216
18463,0.80424454
18464,0.84941827
18465,0.58692305
18466,0.66727835
18467,0.53901275
18468,0.80424443
18469,0.80672256
18470,0.53028973
18471,0.63747879
18472,0.42419089
18473,0.87768235
18474,0.58305806
18475,0.53901328
18476,0.61063031
18477,0.39596799
18478,0.56768779
18479,0.39596802
18480,0.39596702
18481,0.64020185
18482,0.67372238
18483,0.43700929
18484,0.62204296
18485,0.42419111
18486,0.95610444
18487,0.42419658
18488,0.87562024
18489,0.4544188
18490,0.83634148
18491,0.77018634
18492,0.41995876
18493,0.23578547
18494,0.63747874
18495,0.95123731
18496,0.42911146
18497,0.92642413
18498,0.8488967
18499,0.8240588
18500,0.86385082
18501,0.80424623
18502,0.78447746
18503,0.94852101
18504,0.6428354
18505,0.88115036
18506,0.43701505
18507,0.61063155
18508,0.3079555
18509,0.43700969
18510,0.5226563
18511,0.71943731
18512,0.91075228
18513,0.89457755
18514,0.42908013
18515,0.80424488
18516,0.53901262
18517,0.87031414
18518,0.74689769
18519,0.74689715
18520,0.80424494
18521,0.43701071
18522,0.43701103
18523,0.95342359
18524,0.68775497
18525,0.4241912
18526,0.80424494
18527,0.75022746
18528,0.51637779
18529,0.56768836
18530,0.42419349
18531,0.80424501
18532,0.42419472
18533,0.91075151
18534,0.64283529
18535,0.43700944
18536,0.67373781
18537,0.51847872
18538,0.91127675
18539,0.91075217
18540,0.80424471
18541,0.84025929
18542,0.34883069
18543,0.80424542
18544,0.80424541
18545,0.57405429
18546,0.82462983
18547,0.56768789
18548,0.63747861
18549,0.34883303
18550,0.90943223
18551,0.92641844
18552,0.42907555
18553,0.80424481
18554,0.6296269
18555,0.6140545
18556,0.43701007
18557,0.42908377
18558,0.4290767
18559,0.81563461
18560,0.82141943
18561,0.61673061
18562,0.84025776
18563,0.72762838
18564,0.95058219
18565,0.75665557
18566,0.64020512
18567,0.43701053
18568,0.94272349
18569,0.33363533
18570,0.33362089
18571,0.95125199
18572,0.77785853
18573,0.96418529
18574,0.94272056
18575,0.95062704
18576,0.58108104
18577,0.89186276
18578,0.74690757
18579,0.58012101
18580,0.43704634
18581,0.77908747
18582,0.85629521
18583,0.43702618
18584,0.80425895
18585,0.63457703
18586,0.42913184
18587,0.84795887
18588,0.23579503
18589,0.63749548
18590,0.95595338
18591,0.68219332
18592,0.74691214
18593,0.42909692
18594,0.84467048
18595,0.61300943
18596,0.85383926
18597,0.80425689
18598,0.80425689
18599,0.76740875
18600,0.80425661
18601,0.56770805
18602,0.23581113
18603,0.72431882
18604,0.80425923
18605,0.43703768
18606,0.76360376
18607,0.34885798
18608,0.4242137
18609,0.94271926
18610,0.51659575
18611,0.59547936
18612,0.56232136
18613,0.34890736
18614,0.56840818
18615,0.72763876
18616,0.92529075
18617,0.81435505
18618,0.39601942
18619,0.87563197
18620,0.94272204
18621,0.87195767
18622,0.7430726
18623,0.76940779
18624,0.92796468
18625,0.86569844
18626,0.86571587
18627,0.95342653
18628,0.90943712
18629,0.78447339
18630,0.89108908
18631,0.95055717
18632,0.96859069
18633,0.94272204
18634,0.437044
18635,0.8106219
18636,0.80424456
18637,0.63747901
18638,0.89457737
18639,0.78771676
18640,0.76358735
18641,0.72531898
18642,0.42419084
18643,0.42419129
18644,0.9510522
18645,0.47657651
18646,0.95031587
18647,0.6610054
18648,0.9112764
18649,0.42419126
18650,0.39596623
18651,0.42419095
18652,0.64581205
18653,0.63747842
18654,0.42419089
18655,0.56768798
18656,0.5676875
18657,0.80424486
18658,0.43700888
18659,0.56768769
18660,0.51847483
18661,0.41896201
18662,0.72531935
18663,0.43700987
18664,0.58376457
18665,0.62204393
18666,0.61672993
18667,0.42907374
18668,0.42419113
18669,0.76742639
18670,0.87978055
18671,0.65281211
18672,0.42907484
18673,0.91075283
18674,0.64283572
18675,0.9495926
18676,0.82963586
18677,0.87989835
18678,0.8723149
18679,0.89370859
18680,0.5166079
18681,0.91202519
18682,0.86990566
18683,0.91075152
18684,0.75699362
18685,0.87950992
18686,0.42419146
18687,0.56768864
18688,0.42909364
18689,0.8795118
18690,0.89434029
18691,0.80424506
18692,0.58475944
18693,0.8042457
18694,0.80424555
18695,0.85382978
18696,0.72421554
18697,0.80424453
18698,0.56768859
18699,0.42419258
18700,0.6342439
18701,0.56768837
18702,0.53901304
18703,0.53901344
18704,0.42419405
18705,0.61405463
18706,0.71811159
18707,0.64581273
18708,0.61063077
18709,0.67247209
18710,0.41436914
18711,0.75022873
18712,0.55525557
18713,0.95747356
18714,0.41091975
18715,0.53901256
18716,0.80424481
18717,0.77778408
18718,0.75560501
18719,0.80424491
18720,0.94271709
18721,0.58692528
18722,0.80424481
18723,0.30795588
18724,0.39597233
18725,0.61063328
18726,0.3336216
18727,0.56768908
18728,0.43701085
18729,0.42419123
18730,0.43700944
18731,0.47672514
18732,0.56828582
18733,0.42419116
18734,0.67372637
18735,0.62204447
18736,0.63747917
18737,0.51637777
18738,0.42907502
18739,0.42419137
18740,0.42419227
18741,0.42907764
18742,0.74689815
18743,0.42419313
18744,0.93663405
18745,0.41896654
18746,0.81062696
18747,0.8275624
18748,0.75665319
18749,0.66727193
18750,0.42907491
18751,0.8945785
18752,0.91482801
18753,0.82407002
18754,0.9252874
18755,0.42419227
18756,0.8719565
18757,0.9273108
18758,0.86385594
18759,0.59784303
18760,0.75066873
18761,0.86569493
18762,0.80672324
18763,0.43701027
18764,0.89161525
18765,0.91128254
18766,0.8682964
18767,0.71191575
18768,0.95110468
18769,0.75087492
18770,0.89106436
18771,0.93068171
18772,0.75668142
18773,0.80425527
18774,0.88118374
18775,0.72764572
18776,0.71945254
18777,0.85385588
18778,0.34885593
18779,0.42422063
18780,0.80426898
18781,0.3815501
18782,0.77807698
18783,0.80425666
18784,0.8042658
18785,0.34891666
18786,0.78773127
18787,0.67034816
18788,0.55276381
18789,0.87979475
18790,0.42420661
18791,0.56776193
18792,0.51857532
18793,0.51859151
18794,0.80426065
18795,0.94271944
18796,0.82406392
18797,0.56774151
18798,0.79383464
18799,0.84026728
18800,0.4370217
18801,0.74094148
18802,0.7387237
18803,0.43705982
18804,0.72427158
18805,0.49021321
18806,0.42421464
18807,0.4370092
18808,0.43700867
18809,0.9387149
18810,0.96858864
18811,0.9698972
18812,0.94818023
18813,0.94272073
18814,0.85499882
18815,0.63459912
18816,0.7365008
18817,0.42419141
18818,0.95901632
18819,0.80425864
18820,0.75560412
18821,0.74092077
18822,0.86723072
18823,0.81892189
18824,0.95470794
18825,0.75066465
18826,0.6991828
18827,0.56768828
18828,0.80424442
18829,0.63747899
18830,0.75791775
18831,0.96400881
18832,0.91886382
18833,0.89214079
18834,0.80093907
18835,0.42907448
18836,0.78447338
18837,0.88502309
18838,0.42907425
18839,0.80424443
18840,0.92796243
18841,0.80424439
18842,0.94852125
18843,0.84420721
18844,0.42907399
18845,0.23578538
18846,0.94288191
18847,0.75096672
18848,0.59546293
18849,0.61405241
18850,0.94812867
18851,0.83634718
18852,0.23578544
18853,0.83813422
18854,0.76358704
18855,0.6220431
18856,0.34882993
18857,0.51848115
18858,0.41753248
18859,0.94271705
18860,0.58475452
18861,0.75665292
18862,0.8946376
18863,0.96858716
18864,0.42907433
18865,0.80424514
18866,0.91482084
18867,0.83432354
18868,0.42419116
18869,0.80424522
18870,0.80424446
18871,0.88056594
18872,0.47672014
18873,0.89457849
18874,0.51847838
18875,0.94957348
18876,0.41897046
18877,0.61673552
18878,0.51126251
18879,0.4189632
18880,0.42420433
18881,0.53029638
18882,0.86384858
18883,0.8505427
18884,0.96470321
18885,0.56768837
18886,0.81563564
