id,score
18142,0.91
18143,0.48
18144,0.48
18145,0.91
18146,0.48
18147,0.48
18148,0.48
18149,0.48
18150,0.48
18151,0.48
18152,0.91
18153,0.48
18154,0.43
18155,0.48
18156,0.91
18157,0.42
18158,0.91
18159,0.48
18160,0.75
18161,0.48
18162,0.58
18163,0.91
18164,0.91
18165,0.75
18166,0.91
18167,0.88
18168,0.75
18169,0.73
18170,0.91
18171,0.91
18172,0.48
18173,0.31
18174,0.91
18175,0.48
18176,0.48
18177,0.29
18178,0.40
18179,0.75
18180,0.48
18181,0.91
18182,0.29
18183,0.92
18184,0.75
18185,0.31
18186,0.48
18187,0.75
18188,0.48
18189,0.42
18190,0.91
18191,0.44
18192,0.48
18193,0.75
18194,0.75
18195,0.31
18196,0.31
18197,0.48
18198,0.38
18199,0.75
18200,0.31
18201,0.75
18202,0.38
18203,0.29
18204,0.48
18205,0.39
18206,0.48
18207,0.91
18208,0.47
18209,0.75
18210,0.44
18211,0.75
18212,0.38
18213,0.31
18214,0.48
18215,0.48
18216,0.91
18217,0.48
18218,0.75
18219,0.48
18220,0.31
18221,0.31
18222,0.44
18223,0.08
18224,0.38
18225,0.48
18226,0.59
18227,0.55
18228,0.75
18229,0.48
18230,0.86
18231,0.48
18232,0.55
18233,0.48
18234,0.48
18235,0.77
18236,0.95
18237,0.89
18238,0.89
18239,0.78
18240,0.72
18241,0.84
18242,0.91
18243,0.87
18244,0.92
18245,0.87
18246,0.92
18247,0.91
18248,0.81
18249,0.77
18250,0.45
18251,0.81
18252,0.81
18253,0.56
18254,0.80
18255,0.58
18256,0.58
18257,0.52
18258,0.03
18259,0.72
18260,0.53
18261,0.46
18262,0.44
18263,0.70
18264,0.84
18265,0.45
18266,0.62
18267,0.89
18268,0.87
18269,0.49
18270,0.66
18271,0.82
18272,0.83
18273,0.88
18274,0.86
18275,0.73
18276,0.91
18277,0.74
18278,0.89
18279,0.91
18280,0.38
18281,0.70
18282,0.48
18283,0.59
18284,0.75
18285,0.89
18286,0.82
18287,0.31
18288,0.84
18289,0.85
18290,0.75
18291,0.82
18292,0.58
18293,0.48
18294,0.48
18295,0.91
18296,0.48
18297,0.31
18298,0.91
18299,0.31
18300,0.47
18301,0.48
18302,0.48
18303,0.75
18304,0.38
18305,0.48
18306,0.31
18307,0.31
18308,0.48
18309,0.08
18310,0.42
18311,0.75
18312,0.75
18313,0.31
18314,0.44
18315,0.38
18316,0.91
18317,0.48
18318,0.38
18319,0.48
18320,0.91
18321,0.48
18322,0.72
18323,0.98
18324,0.48
18325,0.91
18326,0.48
18327,0.31
18328,0.48
18329,0.48
18330,0.49
18331,0.91
18332,0.38
18333,0.91
18334,0.67
18335,0.91
18336,0.11
18337,0.75
18338,0.91
18339,0.48
18340,0.48
18341,0.88
18342,0.29
18343,0.91
