<built-in function id>,score
18142,0.95
18143,0.7
18144,0.6
18145,1.0
18146,0.85
18147,0.3
18148,0.3
18149,0.25
18150,0.65
18151,0.35
18152,0.7
18153,0.65
18154,0.8
18155,0.3
18156,0.9
18157,0.65
18158,0.9
18159,0.9
18160,0.8
18161,0.8
18162,0.95
18163,1.0
18164,0.95
18165,0.8
18166,0.95
18167,1.0
18168,0.8
18169,0.95
18170,0.8
18171,0.7
18172,0.5
18173,0.35
18174,0.8
18175,0.85
18176,0.85
18177,0.35
18178,0.95
18179,0.8
18180,0.95
18181,0.9
18182,0.35
18183,0.9
18184,0.8
18185,0.95
18186,0.85
18187,0.8
18188,0.45
18189,0.6
18190,0.9
18191,0.8
18192,0.95
18193,0.8
18194,0.8
18195,0.95
18196,0.85
18197,0.4
18198,0.9
18199,0.8
18200,0.85
18201,0.8
18202,0.4
18203,0.35
18204,0.95
18205,0.6
18206,0.95
18207,1.0
18208,0.5
18209,0.8
18210,0.8
18211,0.8
18212,0.4
18213,0.95
18214,0.65
18215,0.75
18216,0.9
18217,0.95
18218,0.8
18219,0.95
18220,0.85
18221,0.85
18222,0.8
18223,0.5
18224,0.4
18225,0.9
18226,0.85
18227,0.55
18228,0.8
18229,0.95
18230,0.8
18231,0.7
18232,0.7
18233,0.35
18234,0.65
18235,1.0
18236,0.7
18237,0.95
18238,0.75
18239,1.0
18240,0.95
18241,0.75
18242,0.95
18243,0.8
18244,0.95
18245,0.8
18246,0.8
18247,0.8
18248,0.95
18249,0.6
18250,0.4
18251,0.9
18252,1.0
18253,0.5
18254,0.8
18255,0.6
18256,0.4
18257,0.9
18258,0.65
18259,0.8
18260,0.95
18261,0.5
18262,0.8
18263,0.8
18264,0.8
18265,1.0
18266,0.35
18267,0.6
18268,0.9
18269,0.65
18270,0.85
18271,0.75
18272,0.95
18273,1.0
18274,0.65
18275,0.85
18276,0.6
18277,0.6
18278,0.85
18279,0.85
18280,0.4
18281,0.65
18282,0.85
18283,0.35
18284,0.8
18285,1.0
18286,0.8
18287,0.85
18288,0.95
18289,0.9
18290,0.8
18291,0.65
18292,0.4
18293,0.35
18294,0.4
18295,0.55
18296,0.65
18297,0.95
18298,0.95
18299,0.95
18300,0.5
18301,0.4
18302,0.65
18303,0.8
18304,0.95
18305,0.65
18306,0.95
18307,0.95
18308,0.85
18309,0.5
18310,0.6
18311,0.8
18312,0.8
18313,0.85
18314,1.0
18315,0.9
18316,1.0
18317,0.75
18318,0.5
18319,0.95
18320,0.8
18321,0.95
18322,0.95
18323,0.95
18324,0.85
18325,1.0
18326,0.4
18327,0.85
18328,0.3
18329,0.75
18330,0.75
18331,0.65
18332,0.4
18333,0.9
18334,0.9
18335,0.7
18336,0.55
18337,0.8
18338,0.95
18339,0.85
18340,0.85
18341,0.7
18342,0.95
18343,0.9
18344,0.85
18345,0.8
18346,0.75
18347,0.85
18348,0.8
18349,0.85
18350,0.45
18351,0.9
18352,0.8
18353,0.95
18354,0.95
18355,0.8
18356,0.4
18357,0.55
18358,0.75
18359,0.35
18360,0.9
18361,0.9
18362,0.75
18363,0.75
18364,0.35
18365,0.95
18366,0.8
18367,0.8
18368,0.8
18369,0.85
18370,0.8
18371,0.9
18372,0.55
18373,0.95
18374,1.0
18375,0.95
18376,0.8
18377,1.0
18378,1.0
18379,0.9
18380,0.75
18381,0.8
18382,0.8
18383,0.8
18384,1.0
18385,0.65
18386,0.65
18387,0.4
18388,0.95
18389,0.35
18390,0.95
18391,1.0
18392,0.85
18393,0.5
18394,0.8
18395,1.0
18396,1.0
18397,0.8
18398,0.75
18399,0.8
18400,0.8
18401,0.9
18402,0.75
18403,0.95
18404,0.95
18405,0.95
18406,0.75
18407,0.95
18408,0.9
18409,0.75
18410,0.55
18411,0.95
18412,0.7
18413,0.8
18414,0.75
18415,0.95
18416,1.0
18417,0.9
18418,0.9
18419,0.9
18420,0.95
18421,0.9
18422,0.95
18423,0.8
18424,0.7
18425,0.8
18426,0.9
18427,0.7
18428,0.95
18429,0.4
18430,0.85
18431,0.8
18432,0.4
18433,0.8
18434,0.3
18435,0.8
18436,0.6
18437,0.95
18438,0.9
18439,0.95
18440,0.95
18441,0.8
18442,0.95
18443,0.7
18444,0.95
18445,0.9
18446,0.9
18447,1.0
18448,0.95
18449,0.7
18450,0.7
18451,1.0
18452,0.85
18453,0.95
18454,0.9
18455,0.4
18456,0.4
18457,0.9
18458,0.85
18459,0.95
18460,0.95
18461,0.7
18462,0.7
18463,0.8
18464,0.85
18465,0.4
18466,0.95
18467,0.5
18468,0.8
18469,0.3
18470,0.85
18471,0.75
18472,0.85
18473,0.5
18474,0.8
18475,0.5
18476,0.4
18477,0.65
18478,1.0
18479,0.65
18480,0.6
18481,0.9
18482,0.8
18483,0.9
18484,0.55
18485,0.85
18486,1.0
18487,0.85
18488,0.9
18489,0.95
18490,0.95
18491,0.3
18492,1.0
18493,0.5
18494,0.75
18495,0.95
18496,0.35
18497,1.0
18498,0.95
18499,0.65
18500,1.0
18501,0.8
18502,0.95
18503,1.0
18504,1.0
18505,1.0
18506,0.4
18507,0.4
18508,0.3
18509,0.9
18510,0.9
18511,0.9
18512,0.9
18513,0.75
18514,0.95
18515,0.8
18516,0.5
18517,0.65
18518,0.9
18519,0.95
18520,0.8
18521,0.9
18522,0.95
18523,0.95
18524,0.95
18525,0.95
18526,0.8
18527,1.0
18528,0.8
18529,0.8
18530,0.95
18531,0.8
18532,0.85
18533,0.9
18534,1.0
18535,0.9
18536,0.8
18537,0.6
18538,1.0
18539,0.9
18540,0.8
18541,0.95
18542,0.55
18543,0.8
18544,0.8
18545,0.65
18546,0.8
18547,0.8
18548,0.75
18549,0.95
18550,1.0
18551,1.0
18552,0.35
18553,0.8
18554,0.3
18555,0.9
18556,0.4
18557,0.35
18558,0.35
18559,0.95
18560,0.85
18561,1.0
18562,0.95
18563,0.85
18564,0.9
18565,0.95
18566,0.9
18567,0.9
18568,0.9
18569,0.7
18570,0.95
18571,0.95
18572,0.85
18573,0.95
18574,0.9
18575,0.9
18576,0.85
18577,0.8
18578,0.9
18579,0.9
18580,0.4
18581,0.8
18582,0.75
18583,0.4
18584,0.8
18585,0.65
18586,0.35
18587,0.9
18588,0.5
18589,0.75
18590,0.85
18591,0.7
18592,0.9
18593,0.35
18594,0.7
18595,1.0
18596,0.4
18597,0.8
18598,0.8
18599,0.75
18600,0.8
18601,0.8
18602,0.5
18603,1.0
18604,0.8
18605,0.4
18606,0.85
18607,0.55
18608,0.95
18609,0.9
18610,0.85
18611,0.8
18612,0.75
18613,0.95
18614,0.5
18615,0.85
18616,0.9
18617,0.95
18618,0.65
18619,0.9
18620,0.9
18621,0.7
18622,0.9
18623,0.95
18624,0.85
18625,1.0
18626,1.0
18627,0.95
18628,1.0
18629,0.95
18630,0.9
18631,0.85
18632,0.95
18633,0.9
18634,0.4
18635,0.7
18636,0.8
18637,0.75
18638,0.75
18639,0.85
18640,0.85
18641,0.75
18642,0.95
18643,0.95
18644,0.95
18645,0.45
18646,0.75
18647,0.85
18648,1.0
18649,0.95
18650,0.65
18651,0.95
18652,0.85
18653,0.75
18654,0.95
18655,0.8
18656,0.9
18657,0.8
18658,0.4
18659,0.8
18660,0.6
18661,0.8
18662,0.75
18663,0.4
18664,0.95
18665,0.55
18666,1.0
18667,0.35
18668,0.95
18669,0.75
18670,0.85
18671,0.9
18672,0.35
18673,0.9
18674,1.0
18675,0.7
18676,0.95
18677,0.95
18678,0.95
18679,0.95
18680,0.85
18681,0.75
18682,0.5
18683,0.9
18684,0.9
18685,0.9
18686,0.95
18687,0.9
18688,0.35
18689,0.9
18690,0.5
18691,0.8
18692,0.7
18693,0.8
18694,0.8
18695,0.4
18696,0.9
18697,0.8
18698,0.9
18699,0.85
18700,0.55
18701,0.9
18702,0.5
18703,0.5
18704,0.85
18705,0.9
18706,0.95
18707,0.85
18708,0.4
18709,0.85
18710,0.5
18711,1.0
18712,0.8
18713,0.8
18714,0.95
18715,0.5
18716,0.8
18717,0.85
18718,0.85
18719,0.8
18720,0.9
18721,0.4
18722,0.8
18723,0.3
18724,0.6
18725,0.4
18726,0.95
18727,0.8
18728,0.4
18729,0.95
18730,1.0
18731,0.75
18732,0.5
18733,0.95
18734,0.8
18735,0.55
18736,0.75
18737,0.8
18738,0.95
18739,0.95
18740,0.95
18741,0.35
18742,0.95
18743,0.85
18744,0.95
18745,0.8
18746,0.7
18747,0.8
18748,0.95
18749,0.95
18750,0.35
18751,0.75
18752,0.85
18753,0.65
18754,0.9
18755,0.85
18756,0.7
18757,0.9
18758,1.0
18759,0.65
18760,0.9
18761,1.0
18762,0.3
18763,0.4
18764,0.8
18765,1.0
18766,0.9
18767,0.9
18768,0.95
18769,0.9
18770,0.9
18771,0.5
18772,0.75
18773,0.8
18774,1.0
18775,0.85
18776,0.9
18777,0.4
18778,0.55
18779,0.85
18780,0.8
18781,0.5
18782,0.85
18783,0.8
18784,0.8
18785,0.95
18786,0.85
18787,0.85
18788,0.65
18789,0.85
18790,0.95
18791,0.8
18792,0.6
18793,0.6
18794,0.8
18795,0.9
18796,0.65
18797,0.8
18798,0.85
18799,0.95
18800,0.95
18801,0.85
18802,0.9
18803,0.9
18804,0.85
18805,0.85
18806,0.85
18807,0.4
18808,0.4
18809,0.65
18810,0.95
18811,0.95
18812,1.0
18813,0.9
18814,0.85
18815,0.65
18816,0.9
18817,0.85
18818,0.55
18819,0.8
18820,0.85
18821,0.85
18822,0.9
18823,0.75
18824,1.0
18825,0.9
18826,0.85
18827,0.8
18828,0.8
18829,0.75
18830,0.85
18831,0.55
18832,1.0
18833,0.95
18834,0.85
18835,0.35
18836,0.95
18837,0.95
18838,0.35
18839,0.8
18840,0.85
18841,0.8
18842,1.0
18843,0.65
18844,0.95
18845,0.5
18846,0.4
18847,0.6
18848,0.8
18849,0.9
18850,0.6
18851,0.95
18852,0.5
18853,0.95
18854,0.85
18855,0.55
18856,0.55
18857,0.6
18858,0.3
18859,0.9
18860,0.7
18861,0.75
18862,0.75
18863,0.95
18864,0.35
18865,0.8
18866,0.85
18867,0.75
18868,0.85
18869,0.8
18870,0.8
18871,0.6
18872,0.75
18873,0.75
18874,0.6
18875,0.7
18876,0.8
18877,1.0
18878,1.0
18879,0.8
18880,0.85
18881,0.85
18882,1.0
18883,0.8
18884,0.95
18885,0.8
18886,0.95
18887,0.9
18888,1.0
18889,0.8
18890,0.85
18891,0.75
18892,1.0
18893,0.9
18894,0.7
18895,0.45
18896,0.7
18897,0.95
18898,0.8
18899,0.75
18900,0.8
18901,0.9
18902,0.75
18903,0.95
18904,0.4
18905,0.95
18906,0.5
18907,0.5
18908,0.5
18909,0.45
18910,0.95
18911,0.75
18912,0.4
18913,1.0
18914,0.35
18915,0.95
18916,0.8
18917,0.95
18918,0.4
18919,0.95
18920,0.8
18921,0.7
18922,0.9
18923,0.8
18924,0.6
18925,0.3
18926,0.95
18927,0.8
18928,0.9
18929,0.9
18930,0.8
18931,0.85
18932,0.95
18933,0.95
18934,0.55
18935,0.35
18936,0.9
18937,0.95
18938,0.7
18939,0.9
18940,0.95
18941,0.65
18942,0.4
18943,0.5
18944,0.85
18945,0.85
18946,0.7
18947,0.95
18948,0.95
18949,0.95
18950,0.8
18951,0.55
18952,0.8
18953,0.75
18954,0.95
18955,0.95
18956,1.0
18957,0.65
18958,0.55
18959,0.9
18960,0.95
18961,0.9
18962,0.7
18963,0.85
18964,0.8
18965,1.0
18966,0.65
18967,0.35
18968,0.55
18969,1.0
18970,0.9
18971,0.75
18972,0.65
18973,1.0
18974,0.9
18975,0.85
18976,0.8
18977,0.8
18978,0.55
18979,0.4
18980,0.65
18981,0.95
18982,1.0
18983,0.95
18984,1.0
18985,0.95
18986,0.75
18987,0.5
18988,0.5
18989,0.95
18990,0.35
18991,1.0
18992,0.6
18993,0.95
18994,0.8
18995,0.35
18996,0.8
18997,0.4
18998,0.9
18999,0.8
19000,0.55
19001,0.55
19002,0.75
19003,1.0
19004,0.95
19005,0.85
19006,0.75
19007,0.8
19008,0.8
19009,0.5
19010,0.95
19011,0.7
19012,0.8
19013,0.8
19014,0.65
19015,0.8
19016,0.85
19017,0.55
19018,0.4
19019,0.9
19020,1.0
19021,0.65
19022,0.9
19023,0.55
19024,0.85
19025,0.85
19026,0.85
19027,0.8
19028,1.0
19029,0.75
19030,0.85
19031,0.35
19032,0.85
19033,0.8
19034,0.9
19035,0.95
19036,0.65
19037,0.85
19038,1.0
19039,0.8
19040,0.8
19041,0.5
19042,1.0
